audit_area,check_id,status,severity,detail,source_artifacts
source_model,source_model_directories_present,pass,info,"April, May, and projection model directories are present.",GESA_model_original/2025-04-03_CDA_N4_2D_250403; GESA_model_original/2025-05-09_CDA_N4_2D_250509; GESA_model_original/projection_on_mesh_2025-09-05
source_model,projection_reference_files_present,pass,info,Projection reference files present=8.,GESA_model_original/projection_on_mesh_2025-09-05/README.txt; GESA_model_original/projection_on_mesh_2025-09-05/03_parameters_TRM.xml; GESA_model_original/projection_on_mesh_2025-09-05/04_media_TRM.xml; GESA_model_original/projection_on_mesh_2025-09-05/04_2_media_twophase.xml; GESA_model_original/projection_on_mesh_2025-09-05/05_time_loop_TRM.xml; GESA_model_original/projection_on_mesh_2025-09-05/bulk.vtu; GESA_model_original/projection_on_mesh_2025-09-05/bulk_w_projections.vtu; GESA_model_original/projection_on_mesh_2025-09-05/cd_a_open_niche_quad.prj
source_model,formulation_consistency_passed,pass,info,"status=ogs_formulation_consistency_audit_generated; checks=18; failures=0; process=THERMO_RICHARDS_MECHANICS; run-local mesh fields={'k_i': 'k_i_rd', 'phi': 'n_rd'}; tracked caveats=2.",inversion_workflow/ogs_formulation_consistency_audit.md; inversion_workflow/ogs_formulation_consistency_audit_summary.json
source_model,run_manifests_reference_projection_model,pass,info,RUN_MANIFEST files checked=75; all declare the recovered projection model as source.,inversion_workflow/runs/*/RUN_MANIFEST.json
parameter_release,stage_one_release_scope_is_narrow,pass,info,"rows=14; active_fields=['intrinsic permeability tensor magnitude field']; fixed_first_stage=['porosity support field', 'residual saturations', 'relative-permeability numerical floor', 'thermal and liquid transport constants', 'initial pressure and stress setup']; stage_counts={'blocked_or_confirm_provenance': 1, 'blocked_or_confirm_value': 1, 'fixed_for_current_experiment': 1, 'fixed_model_setup_confirm_before_mechanics': 1, 'fixed_numerical_control': 1, 'stage_1_active_field': 1, 'stage_1_fixed_support_field': 1, 'stage_2_candidate_scalar': 2, 'stage_2_candidate_tensor_shape': 1, 'stage_2_fixed_until_retention_data': 1, 'stage_3_candidate_mechanical': 2, 'stage_3_validation_only': 1}.",inversion_workflow/inversion_parameter_release_plan.md; inversion_workflow/inversion_parameter_release_plan_summary.json
parameter_release,prepared_runs_release_gate_passed,pass,info,status=pass; runs=65; checks=1300; failures=0; warnings=0.,inversion_workflow/inversion_release_gate_audit.md; inversion_workflow/inversion_release_gate_audit.json
current_field,current_field_package_is_positive_definite,pass,info,status=current_permeability_field_package_generated; run=local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000; mesh_exists=yes; stats_exists=yes; cells=10239; positive_definite=10239; non_positive_definite=0; max_asymmetry=0.0; deliverable_status=best_executed_active_objective_candidate_not_final_all_measurement_inversion.,inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD.md; inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD_SUMMARY.json; inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu; inversion_workflow/current_permeability_field/current_best_field_stats.csv
current_field,current_field_reproducibility_audit_verified,pass,info,status=current_field_reproducibility_verified; checks=19; required_failures=0; manifest_rows=46; run_input_snapshot_files=25; project_refs=15; direct/state rows=75/192.,inversion_workflow/current_permeability_field/CURRENT_FIELD_REPRODUCIBILITY_AUDIT.md; inversion_workflow/current_permeability_field/CURRENT_FIELD_REPRODUCIBILITY_AUDIT.json; inversion_workflow/current_permeability_field/packaged_file_manifest.csv; inversion_workflow/current_permeability_field/ogs_run_inputs/
measurements,measurement_info_mirror_indexes_available,pass,info,"folders=9; source rows=206; archive-member rows=1880; workbook sheet rows=34; kind_counts={'bib': 1, 'fig': 11, 'jpg': 1, 'pdf': 25, 'png': 22, 'pptx': 4, 'pvsm': 1, 'py': 1, 'tex': 2, 'text/data': 100, 'vtu': 15, 'xlsx': 12, 'zip': 11}.",../cda_knowledge_base/measurements_info/README.md; ../cda_knowledge_base/measurements_info/measurement_info_manifest.csv; ../cda_knowledge_base/measurements_info/archive_member_catalog.csv; ../cda_knowledge_base/measurements_info/workbook_sheet_deep_index.csv
measurements,all_measurement_groups_have_model_entry_status,pass,info,"observation_groups=9; active_objective_groups=2; coverage_status_counts={'active_parameter_objective': 1, 'active_state_residual_from_sampled_ogs_outputs': 1, 'boundary_forcing_audited_not_point_residual': 1, 'layout_and_qualitative_targets_ready_numeric_series_missing': 1, 'resistivity_diagnostic_generated_transform_support_unconfirmed': 1, 'structural_prior_ready': 1, 'support_layer_ready': 1, 'trend_operator_ready_absolute_calibration_pending': 1, 'workflow_support_ready': 1}; state_target_rows=11490; state_sample_rows=37184.",inversion_workflow/measurement_operator_coverage.md; inversion_workflow/measurement_operator_coverage_summary.json
measurements,measurement_catalogue_report_traceability_passed,pass,info,status=measurement_report_traceability_audit_generated; observations=9; traceability_status_counts={'pass': 9}; missing sections/tables/model-entry/artifacts=0/0/0/0.,inversion_workflow/measurement_report_traceability_audit.md; inversion_workflow/measurement_report_traceability_audit_summary.json
measurements,likelihood_activation_distinguishes_active_and_gated_streams,pass,info,"measurement_streams=7; active_streams_now=2; total_current_objective_rows=267; activation_state_counts={'active_direct_parameter_likelihood': 1, 'active_state_likelihood_from_sampled_ogs_outputs': 1, 'boundary_forcing_audit_not_point_likelihood': 1, 'qualitative_validation_layer_numeric_series_missing': 1, 'resistivity_diagnostic_evaluated_transform_support_unconfirmed': 1, 'support_and_prior_layer': 1, 'trend_diagnostic_evaluated_pending_absolute_calibration': 1}.",inversion_workflow/measurement_likelihood_model.md; inversion_workflow/measurement_likelihood_model_summary.json
promotion_guard,gated_streams_prevent_final_promotion,pass,info,"promotion_decision=do_not_promote_current_field; current_field_final_decision=do_not_promote_to_final_all_measurement_field; open_blockers=8; open_blocker_ids=['ert_transform_support', 'ert_uncertainty', 'hm_numeric_exports', 'hm_uncertainty', 'rh_active_curve_provenance', 'taupe_unit_calibration', 'perm_endpoint_geometry', 'cte_value_confirmation']; status_counts={'active_only_pass': 2, 'blocked_external': 6, 'blocked_internal_decision': 1, 'fails_promotion': 2, 'pass': 5, 'pass_with_caveat': 1}.",inversion_workflow/final_inversion_promotion_checklist.md; inversion_workflow/final_inversion_promotion_checklist_summary.json
