request_id,priority,stream,gate_id,gate_label,gate_status,required_for_active_likelihood,request_type,audience,owner_or_source,external_or_internal,exact_request,minimum_acceptance_criteria,current_evidence,current_blocker_or_caveat,why_needed_for_model,would_unlock,existing_local_artifacts,related_request_package,source_gate_artifacts
ert_transform_support,high,ert_resistivity,ERT_TRANSFORM_SUPPORT,coordinate transform and exact support mask confirmed,fail,True,support_geometry_and_transform,BGR ERT provider / Markus Furche via Gesa Ziefle,BGR ERT processing source,external,"Confirm the coordinate frame of the ERT inversion VTK fields and electrode files, the exact transform into the local OGS 2D x/y frame, and the accepted near-niche support mask for model comparison. The current local operator assumes model_x = raw_x and model_y = raw_y + 500 and uses a provisional central support mask.",A written transform definition or script; coordinate-frame origin and axes; tunnel/niche contour or support polygon; accepted handling of the 35 cm rock-depth recommendation; and a decision on whether the current 1.5 m/radial support variants are acceptable or must be replaced.,"support variants=9; best mean support-rank run=broad_continuous_001_001_length_0p023m_shift_1p004; rank correlations vs default={'inner_annulus_1p15_1p30m': 0.4285714285714286, 'outer_annulus_1p30_1p50m': 0.6571428571428573, 'radius_le_1p25m': 0.4285714285714286, 'radius_le_1p2m': 0.6571428571428573, 'radius_le_1p35m': 0.48571428571428577, 'radius_le_1p3m': 0.4285714285714286, 'radius_le_1p45m': 1.0, 'radius_le_1p4m': 0.942857142857143}","ERT-to-OGS transform and exact near-niche support mask remain assumed, not confirmed.",ERT can only become a weighted log-resistivity residual if each inversion cell is placed on the same physical support as the OGS cells. The support-sensitivity audit shows that changing support can change candidate rankings.,Promote ERT from diagnostic field check to candidate active residual support.,inversion_workflow/processed_observations/ert_spatial_projection_operator.md; inversion_workflow/ert_support_sensitivity.md; cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,,ert_support_sensitivity_summary.json; ert_spatial_projection_operator.md
ert_uncertainty,high,ert_resistivity,ERT_UNCERTAINTY,inversion-field uncertainty/correlation model assigned,fail,True,uncertainty_model,BGR ERT provider / Markus Furche via Gesa Ziefle,BGR ERT inversion/evaluation source,external,"Provide or approve an ERT inversion-field uncertainty and correlation model for log10 resistivity residuals: per-cell or region-level sigma, time correlation, spatial correlation/effective degrees of freedom, and any recommended filtering or aggregation before comparison to OGS theta-derived resistivity.","Either a covariance/error export or an agreed simplified weighting rule, including units/log base, independence assumptions, date grouping, and rules for unstable or fracture-dominated cells.",cross-run ERT MAE range=0.019635573360798686; no pixel/time covariance model is recorded,No defensible ERT residual sigma/correlation model is available; pixels cannot be treated as independent rows.,"The archive has dense ERT fields, but VTK pixels cannot be treated as independent observations without over-weighting ERT relative to sparse NMR/permeability data.",Defensible ERT likelihood weight or downweighted diagnostic residual.,inversion_workflow/ert_candidate_discrimination.md; inversion_workflow/measurement_likelihood_model.md,,ert_candidate_discrimination_summary.json; measurement_likelihood_model.md
hm_numeric_exports,high,other_hm_monitoring,HM_NUMERIC_EXPORTS,hard-residual-ready numeric time series located,fail,True,source_file_request,"Gesa Ziefle / BGR Geoscope, laser-scan, and levelling source",BGR other-HM monitoring source,external,"Provide hard-residual-ready numeric exports for Geoscope mini-piezometers, extensometers, crackmeters, the 2026-04-20 laser-scan statistical interpretation, and the full precision-levelling survey table.","Machine-readable tables with timestamps or survey epochs, instrument ids, measured values, units, coordinates/support ids, reference/zero conventions, calibration or processing provenance, quality/status flags, and uncertainty/covariance where available.",hard-ready request classes=0; zip numeric-candidate members=0,"Local source scan found layout geometry, laser surface geometry, extracted levelling slide rows, and report/minute evidence, but no hard-residual-ready Geoscope time series, laser statistical interpretation product, or full levelling survey table.","The local catalogue has layout geometry and qualitative HM statements, but no numeric time series or statistical exports that can be sampled against OGS pressure/displacement states.",Potential pressure/deformation/laser/levelling validation residuals.,inversion_workflow/processed_observations/other_hm_numeric_source_audit.md; cda_knowledge_base/measurements/other_hm_monitoring/source_files/,inversion_workflow/processed_observations/other_hm_missing_numeric_request.md,other_hm_numeric_source_audit_summary.json; other_hm_missing_numeric_request.md
hm_uncertainty,high,other_hm_monitoring,HM_UNCERTAINTY,"units, epochs, reference conventions, uncertainty, and quality flags available",fail,True,metadata_and_uncertainty_model,"Gesa Ziefle / BGR Geoscope, laser-scan, and levelling source",BGR other-HM monitoring source,external,"For every provided other-HM export, include the metadata required for residual weights: units, epochs, coordinate/support geometry, reference conventions, uncertainty/covariance, quality flags, and failure/maintenance intervals.",Each table has self-contained units and reference conventions; failed sensors such as BCD-A9/B10 are flagged; laser registration uncertainty and masks are included; and levelling covariance/reference frame are documented.,"Do not assign hard HM residual weights until numeric exports include timestamps or survey epochs, units, support geometry, reference conventions, uncertainty/covariance, and quality/status flags.",Required metadata for hard HM residual weights are absent from the current local bundle.,"Even if numeric values are found, they cannot become hard residuals without metadata that states what OGS quantity and support they measure.",Defensible weights and activation gates for other-HM residuals.,inversion_workflow/processed_observations/other_hm_missing_numeric_request.md; inversion_workflow/processed_observations/other_hm_numeric_source_audit.md,inversion_workflow/processed_observations/other_hm_missing_numeric_request.md,other_hm_numeric_source_audit.md
rh_active_curve_provenance,high,relative_humidity_suction,RH_ACTIVE_CURVE_PROVENANCE,active OGS pressure curve provenance confirmed,fail,True,provenance_and_processing_files,Gesa Ziefle / BGR RH or OGS boundary-curve source,BGR OGS/RH processing source,external,"Provide the provenance for the active open-niche pressure curve in 08_08_open_niche_seasonal.xml: source sensors, input sheets, scripts/notebooks, time-axis origin, smoothing/filtering, manual edits, Kelvin constants, sign convention, and open/closed curve mapping.","Original or intermediate table/script, sensor selection rule, model-time zero and timezone, RH percent/fraction convention, temperature/density constants, pressure unit/sign, extrapolation policy, and decision for post-active-curve dates.",provenance request rows=6; active outside candidate envelope=575,"Active boundary curve generation, sensor screening, time axis, constants, and extension policy are not confirmed.","RH/suction affects the OGS boundary forcing. The local RH-derived candidate envelope does not reproduce the active curve, so replacing or trusting the curve requires provenance.",Verified boundary forcing or a reproducible replacement curve.,inversion_workflow/processed_observations/rh_boundary_candidate_curves.md; inversion_workflow/processed_observations/rh_boundary_uncertainty.md,inversion_workflow/processed_observations/rh_boundary_provenance_request.md,rh_boundary_provenance_request_summary.json; rh_boundary_uncertainty_summary.json
taupe_unit_calibration,high,taupe_tdr,TAUPE_UNIT_CALIBRATION,Taupe workbook unit and absolute calibration confirmed,fail,True,calibration_confirmation,Taupe/TDR provider via Gesa Ziefle,BGR/ISU Taupe processing source,external,"Confirm what the values in Taupe_WC.xlsx physically represent: calibrated volumetric water-content percent, relative dielectric permittivity, ARDP-derived proxy, or another quantity. Provide the sensor-specific calibration equations and uncertainty.",Workbook unit for every sheet/column; calibration equation and constants; whether values are already corrected for rock porosity/mineral matrix; uncertainty by sensor/band; baseline/reference date; and ARDP-to-water or dielectric conversion details.,absolute candidate conversions remain sanity checks; Topp physical rows are zero in current audit,"Taupe values are not confirmed as volumetric water-content percent, permittivity, or another ARDP-derived proxy.",The current workbook values pass some sanity checks if interpreted as water-content percent but fail if interpreted through a generic Topp permittivity conversion. Absolute Taupe residuals would be misleading without calibration.,"Possible absolute Taupe water-content/saturation residual, or confirmed trend-only use.",inversion_workflow/processed_observations/taupe_tdr_semantics.md; cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,,taupe_tdr_semantics.md; measurement_likelihood_model.md
nmr_bound_water,high,nmr_water_content,NMR_BOUND_WATER,bound/interlayer-water bias quantified,warn,True,internal_method_decision,"internal modelling decision, optionally checked with Stephan Costabel",IGN/UGN modelling team plus BGR NMR source if needed,internal_with_optional_external_confirmation,"Choose the final NMR residual definition before reporting an all-measurement fit: raw absolute theta with an added model-error floor, label/campaign bias residual, within-position trend/anomaly residual, or a free-water correction based on bound/interlayer-water evidence.","A documented objective formula, bias/offset parameter handling, sigma/error floor, which weekly/seasonal rows are active, and whether the known February-April 2025 4E detuning issue is excluded, corrected, or downweighted.",bound-water usable-row required-offset p95=0.04017850052068304; bias audit runs=66; rank correlation=0.6351529067946979,Raw absolute theta residuals remain conditional until a free-water/bound-water correction or anomaly residual is accepted.,"NMR measures total NMR-visible water content, while the OGS state proxy is mobile theta = porosity * liquid_saturation. Many NMR rows exceed fixed model porosity unless a bound/interlayer-water or bias term is included.",A final NMR likelihood definition instead of a conditional active state residual.,inversion_workflow/processed_observations/nmr_bound_water_sensitivity.md; inversion_workflow/nmr_candidate_bias_sensitivity.md,,nmr_bound_water_sensitivity_summary.json; nmr_candidate_bias_sensitivity_summary.json
perm_likelihood_policy,high,permeability_pulse_tests,PERM_LIKELIHOOD_POLICY,direct permeability robust/support-cell likelihood policy before more OGS,internal_policy,False,likelihood_policy_decision,"internal modelling decision, optionally checked with Gesa Ziefle/BGR",IGN/UGN modelling team plus BGR permeability source if needed,internal_with_optional_external_confirmation,"Choose the direct-permeability likelihood policy before more active-objective OGS spending: keep the current duplicate-weighted rowwise Gaussian default, promote a robust row likelihood, aggregate rows by model support cell, gate configured-scalar-range outliers, or require a new parameterization before running more candidates.","A written policy choice, residual formula, row/group weights, outlier handling, reranking rule for existing candidates, and the condition under which the current rowwise Gaussian objective remains the report default.","The likelihood-policy audit finds 75 active direct rows, current Gaussian objective 269.818057, top-10 row-loss share 0.494, 16 support-cell groups with observed range >=1 log10, and a support-cell weighted-mean diagnostic objective near zero.","The active rowwise Gaussian policy is retained for reproducibility, but robust tails, support-cell aggregation, and scalar-range outlier handling are explicit modelling decisions before more active-objective OGS spending.","The current field fits duplicate-weighted means of repeated rows sharing the same support cell, while individual pulse-test rows within those cells conflict by several log units. More smooth field sampling is not the same thing as resolving the likelihood semantics.",A defensible direct-permeability objective policy for the next search or scenario reranking.,inversion_workflow/permeability_likelihood_policy_audit.md; inversion_workflow/permeability_likelihood_decision_request.md,inversion_workflow/permeability_likelihood_decision_request.md,permeability_likelihood_policy_audit.md; permeability_likelihood_decision_request.md
rh_uncertainty,high,relative_humidity_suction,RH_UNCERTAINTY,boundary/retention uncertainty model accepted,fail,True,uncertainty_model_and_policy,internal modelling decision with BGR confirmation if possible,IGN/UGN modelling team plus BGR RH source if needed,internal_with_optional_external_confirmation,"Decide whether RH/suction enters only as boundary forcing, as a retention validation target, or as a future calibration target; approve the boundary/retention uncertainty model and replacement policy for RH-derived curves.",Accepted sensor subset; uncertainty bands for RH-to-pressure conversion; treatment of RH7/RH8 low outliers and high-RH values; whether candidate curves replace or only audit the active XML curve; and release gates for retention parameters.,envelope dates=1064; overlap pressure-range p50=2.103967930926996,Local RH-derived envelope is quantified but not accepted as replacement forcing or retention likelihood.,A pressure boundary can move the entire desaturation response. It should not be fitted or replaced without a clear uncertainty and provenance policy.,Boundary-forcing replacement decision and possible retention-parameter gate.,inversion_workflow/processed_observations/rh_boundary_uncertainty.md; inversion_workflow/processed_observations/rh_boundary_candidate_curves.md,inversion_workflow/processed_observations/rh_boundary_provenance_request.md,rh_boundary_uncertainty_summary.json; rh_boundary_uncertainty.md
perm_endpoint_geometry,medium,permeability_pulse_tests,PERM_SUPPORT,missing historical endpoint geometry for inactive permeability rows,tracked_caveat,False,source_file_request,Gesa Ziefle / BGR permeability source,BGR permeability measurement source,external,"Provide labelled endpoint geometry or approved digitized traces for the historical BCD-A24, BCD-A25, BCD-A26, BCD-A27, and BFM-D19 permeability intervals that are currently retained but inactive.","For each interval: borehole id, open/closed assignment, start/end coordinates or depths with convention, orientation, interval length/support, date/source table, permeability value, and uncertainty/evaluation note.",98 older permeability rows are retained but inactive because labelled endpoint geometry is missing.,Historical permeability endpoints are needed only if these older rows should enter the fit.,These older rows cannot be projected to OGS cells until the measured 3D interval volume is known. They are useful because they broaden the permeability evidence outside the currently active mapped rows.,Additional permeability pulse-test rows for direct parameter fitting.,inversion_workflow/processed_observations/permeability_missing_geometry_audit.md,inversion_workflow/processed_observations/permeability_endpoint_geometry_request.md,permeability_missing_geometry_audit.md; permeability_endpoint_geometry_request.md
perm_error_model,medium,permeability_pulse_tests,PERM_ERROR_MODEL,broad gas-pulse model-error scale,warn,True,method_decision_and_optional_source_confirmation,"internal modelling decision, optionally checked with Gesa Ziefle/BGR",IGN/UGN modelling team plus BGR permeability source if needed,internal_with_optional_external_confirmation,"Approve the gas-pulse permeability residual model: log10 intrinsic permeability space, duplicate-aware interval weights, current sigma = 0.5 log10 units, and the policy for gas/slip/liquid-equivalent caveats.","A written statement of whether the nitrogen pulse-test values are used as intrinsic permeability constraints on the OGS base permeability tensor magnitude, whether any Klinkenberg/slip correction is needed, and how scalar interval measurements are mapped to the anisotropic tensor field.",current evaluator uses sigma=0.5 log10 units and duplicate-aware weights,Gas/slip/liquid-equivalent interpretation remains a tracked model-error caveat.,"The active field is a tensor-valued intrinsic permeability. The measurements are gas pulse-test interval estimates with directional/support effects, so the residual must not be described as direct water hydraulic conductivity or as all tensor components.",Cleaner wording for active permeability residuals and defensible sigma/caveat handling.,inversion_workflow/processed_observations/permeability_measurement_semantics.md; inversion_workflow/processed_observations/permeability_observation_targets.csv,inversion_workflow/processed_observations/permeability_endpoint_geometry_request.md,evaluate_permeability_targets.py; permeability_measurement_semantics.md
taupe_group_weights,medium,taupe_tdr,TAUPE_GROUP_WEIGHTS,series/group weighting and uncertainty model accepted,warn,True,uncertainty_model,internal modelling decision with Taupe/TDR provider confirmation if possible,IGN/UGN modelling team plus BGR/ISU Taupe source if needed,internal_with_optional_external_confirmation,"Approve Taupe/TDR grouped weighting before objective activation: aggregate weighting, equal-series, equal-sensor, equal-EDZ-band, robust/trimmed score, or a provider-supplied series uncertainty model.","Series grouping rule, sigma/error model, handling of strongly correlated EDZ bands, sensor-specific downweighting, and whether A3/A4 only or all sensors should contribute.",series-weight runs=66; compared series=12; distinct per-series winners=8,Series-specific uncertainty and grouped weighting remain part of the calibration gate.,The series-weight audit shows different Taupe subseries prefer different permeability candidates. A naive row count would over-weight dense correlated bands.,Taupe trend likelihood weights or a clearly scoped diagnostic score.,inversion_workflow/taupe_series_weight_sensitivity.md; inversion_workflow/taupe_candidate_discrimination.md,,taupe_series_weight_sensitivity_summary.json
taupe_support,medium,taupe_tdr,TAUPE_SUPPORT,all relevant Taupe sensors inside current mesh support,warn,True,support_geometry_decision,internal modelling decision with Taupe/TDR provider confirmation if possible,IGN/UGN modelling team plus BGR/ISU Taupe source if needed,internal_with_optional_external_confirmation,"Decide how to handle A7/A8 Taupe sensors that are outside the current Niche-4 OGS support: exclude them, use them only qualitatively, expand the geometry/model scope, or map them to a separate support if justified.","Sensor/borehole support decision for A3, A4, A7, and A8; explicit inclusion/exclusion flags; and a statement that excluded sensors must not be counted as active residuals.",uncompared/outside-support series=12,A7/A8 remain outside the current Niche-4 mesh support.,Half of the Taupe workbook series are outside the current local mesh support. Including them without matching OGS support would create nonphysical residuals.,A clean Taupe activation mask and report wording for excluded sensors.,inversion_workflow/processed_observations/taupe_tdr_semantics.md; inversion_workflow/taupe_series_weight_sensitivity.md,,taupe_series_weight_sensitivity_summary.json; taupe_tdr_semantics.md
